Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings
NKLA,Nikola Corporation,Industrials,Farm & Heavy Construction Machinery,USA,1.46B,-,2.96,-4.52%,"7,897,556",-12.43%,-42.27%,-42.70%,-62.42%,-72.69%,-68.59%,9.72%,8.00%,2.80,11.99M,1.51,1.51,0.30,-21.50%,-42.66%,-56.81%,-80.98%,4.96%,26.56,-5.43%,0.97%,425.32M,279.26M,2.20%,14.47%,28.90%,1.37%,31.10%,7.25,-,-,73.18,2.20,3.31,-,-51.10%,13.10%,-,20.59%,-,-,-74.00%,-114.80%,-,-,-,0.46,0.47,-,-,-,Nov 03/b
NVDA,NVIDIA Corporation,Technology,Semiconductors,USA,323.80B,39.21,113.04,-5.48%,"38,753,356",-8.91%,-8.90%,-24.12%,-46.13%,-42.88%,-59.33%,6.36%,4.77%,2.10,57.38M,1.54,1.71,6.59,-9.80%,-23.64%,-42.57%,-67.37%,4.54%,33.46,-6.19%,0.75%,2.50B,2.39B,0.40%,-5.39%,65.50%,-0.11%,1.26%,0.53,26.88,1.68,10.89,12.51,19.01,55.23,123.10%,32.17%,43.10%,23.40%,31.30%,0.13%,17.80%,30.80%,26.20%,3.60,3.10,0.41,0.46,60.40%,26.90%,26.00%,Aug 24/a
NWS,News Corporation,Communication Services,Broadcasting,USA,9.32B,15.50,16.16,-0.74%,"156,436",0.56%,-4.96%,1.62%,-26.27%,-31.74%,-27.64%,3.23%,3.09%,-,597.97K,0.60,-,0.52,0.83%,-5.54%,-15.92%,-34.69%,6.53%,47.73,-1.04%,0.31%,194.72M,116.94M,39.94%,-0.04%,35.56%,-,1.36%,2.65,-,-,0.90,1.16,-,-,-,-,-,-,-,1.23%,-,-,-,-,-,-,-,-,-,-,Aug 08/a
PAYS,"PaySign, Inc.",Industrials,Specialty Business Services,USA,126.45M,-,2.14,-3.60%,"9,025",-6.33%,-23.18%,24.02%,19.35%,-14.29%,38.75%,6.50%,6.25%,1.50,115.26K,0.18,0.88,0.16,-11.37%,-18.97%,3.71%,-34.56%,86.09%,37.21,-4.04%,0.45%,51.99M,31.85M,0.80%,-1.51%,16.80%,-,1.33%,3.67,96.52,-,3.79,8.54,19.45,9.16,71.20%,-,-29.70%,-,23.10%,-,-0.80%,-5.40%,-21.20%,1.10,1.10,0.00,0.00,55.20%,-2.20%,-2.10%,Aug 09/a
PLL,Piedmont Lithium Inc.,Basic Materials,Other Industrial Metals & Mining,USA,952.14M,-,49.01,-7.53%,"111,891",-3.93%,-16.94%,58.73%,-26.68%,-8.53%,1.03%,7.28%,7.51%,1.90,446.90K,0.57,-,4.30,-13.13%,-15.73%,-11.59%,-38.73%,52.75%,38.41,-7.70%,0.19%,17.96M,17.37M,3.20%,-2.67%,39.25%,-,12.08%,4.70,46.49,-,-,9.30,-,-,-,165.90%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,USA,17.32B,-,7.64,-5.51%,"17,857,466",-4.60%,5.90%,-10.62%,-37.36%,-66.51%,-55.63%,5.12%,5.17%,2.80,36.16M,1.13,-,0.40,-3.97%,-8.32%,-28.58%,-71.84%,18.56%,40.44,-7.45%,2.10%,2.05B,1.74B,0.40%,-19.47%,33.70%,0.11%,6.99%,3.36,42.08,-,9.93,7.09,7.05,66.58,58.60%,249.09%,-,25.71%,-,-,-16.50%,-23.30%,-19.30%,4.40,4.40,0.00,0.00,78.70%,-13.30%,-30.90%,Aug 08/b
PLUG,Plug Power Inc.,Industrials,Electrical Equipment & Parts,USA,11.79B,-,17.95,-6.66%,"17,795,326",-8.82%,-35.01%,24.39%,-28.11%,-42.75%,-31.88%,5.85%,5.94%,2.10,21.28M,1.91,1.72,1.48,-19.89%,-30.06%,-20.31%,-61.40%,41.34%,29.16,-1.59%,-5.15%,578.04M,518.53M,0.30%,0.00%,55.70%,0.24%,12.08%,2.94,-,-,19.73,2.56,3.97,-,51.00%,53.40%,-20.90%,-,42.40%,-,-10.80%,-13.90%,-8.10%,9.10,8.10,0.12,0.14,-31.20%,-97.90%,-,Aug 09/a
PTON,"Peloton Interactive, Inc.",Consumer Cyclical,Leisure,USA,3.00B,-,7.55,-13.30%,"10,982,095",-1.36%,-14.86%,2.71%,-65.20%,-89.96%,-75.64%,10.22%,9.26%,2.30,16.15M,1.56,-,0.82,-11.96%,-25.30%,-58.13%,-92.40%,13.39%,39.76,-14.28%,1.15%,337.74M,306.32M,0.67%,-1.06%,87.70%,-0.09%,12.57%,2.38,-,-,0.84,4.95,2.39,-,73.00%,51.90%,-,-,74.90%,-,-61.70%,-181.80%,-127.80%,2.40,1.40,2.62,2.63,19.50%,-76.30%,-78.90%,Aug 25/b
PYPL,"PayPal Holdings, Inc.",Financial,Credit Services,USA,101.77B,48.49,80.89,-3.75%,"5,485,689",-10.99%,-13.95%,13.71%,-20.09%,-67.22%,-55.44%,4.87%,4.18%,2.10,13.72M,0.91,1.41,3.98,-8.92%,-13.12%,-21.73%,-70.43%,19.70%,36.41,-4.34%,0.62%,1.16B,1.15B,0.10%,-2.28%,73.70%,-0.16%,2.06%,1.73,17.54,3.78,3.86,4.92,10.94,19.65,-0.70%,21.87%,25.00%,12.84%,18.50%,-,2.70%,9.80%,14.10%,1.20,1.20,0.52,0.54,43.50%,13.50%,7.80%,Aug 02/a
RIOT,"Riot Blockchain, Inc.",Technology,Software - Application,USA,1.16B,-,5.93,-7.20%,"4,847,272",-10.75%,-15.48%,14.72%,-60.09%,-75.08%,-71.38%,8.90%,7.98%,1.80,14.70M,0.75,4.27,0.58,-11.66%,-19.60%,-47.87%,-87.19%,47.51%,38.23,-8.63%,1.56%,167.14M,153.38M,7.00%,-0.08%,32.70%,0.09%,16.55%,1.73,11.04,-,3.78,0.65,2.92,-,71.90%,123.90%,35.80%,20.00%,366.30%,-,-26.70%,-30.40%,-1.70%,4.90,4.90,0.00,0.00,49.80%,-,-,-
